,Sr No.,Utterance,Emotion
3577,3776,Move it! Move it! Move it!! Hey!!! I’m the teacher!!,anger
3581,3780,No. And I don’t think I’m gonna want to.,surprise
3587,3786,Ahh!,surprise
3591,3790,Really?,surprise
3593,3792,Right here!,anger
3604,3803,Stupid closet full of bugs!,anger
3612,3815,Oww crushing bones!,surprise
3614,3817,"Oh, it’s you. I see you everywhere. I’m Jim, Jim Nelson.",surprise
3618,3821,"Well, that’s not something a girl wants to hear.",anger
3633,3837,"Why, what’s wrong with my bathroom floor?",surprise
3635,3839,I highly doubt that.,anger
3640,3844,Aw!,surprise
3641,3845,"Look at that, every inch of this stuff is glued down.",surprise
3644,3848,I can’t leave it! You gouged a hole in my dingy floor.,anger
3646,3850,"You know that’s nice, y'know we could put it back there after the surgeons remove it from your colon!",anger
3648,3852,Hi!,anger
3651,3855,Yeah?,surprise
3655,3859,Huh? What’d ya say Joe? I’ll be right there.,surprise
3660,3865,Really?! You think that will work?,surprise
3662,3867,What the heck is that?,surprise
3674,3879,So you’re not homesick yet?,surprise
3680,3885,You don’t say!,surprise
3683,3888,"Ross, come on! Get in the bloody scrum! Ross, get in!",anger
3685,3890,I don’t believe you spent my wedding fund on the beach house!,anger
3687,3892,Come on! Admit it! That was the best nap you ever had!,anger
3689,3894,Okay! When?!,anger
3691,3896,Uh-huh!,anger
3692,3897,I’ve said it! Okay?! But it’s over Joey!,anger
3693,3898,I want to do it again.,anger
3697,3902,Fine! Do you want something to drink?,anger
3702,3907,"Ok, I've got milk  Here you go...  Oh! Better?",anger
3704,3909,"I'm so embarrassed, I'm the one he hit on!",surprise
3707,3912,"No, wait, oh, what are we sorry about?",surprise
3715,3920,"Yes, good! Ok...",anger
3716,3921,"Oh, but he was my pig man...how did I not see this?",anger
3721,3926,Should I not have told you?,surprise
3732,3937,You’re Erwin’s daughter?!,surprise
3734,3939,"Oh gosh, Lily, yes. Of course I remember Lily. I... Then you must be?",surprise
3736,3941,"Uh-huh. Wow! Well, look! There’s Frank.",surprise
3747,3952,"Look, forget about it, okay?",anger
3751,3956,I know!,surprise
3760,3966,I can't take it anymore.,anger
3761,3967,"So you win, okay?",anger
3762,3968,Here!,anger
3763,3969,Pheebs?,anger
3764,3970,Flying a jet?,surprise
3770,3976,What?! What good is that gonna do anybody?,anger
3773,3979,"Aw, dammit!",surprise
3776,3982,"Hey, no way, I'm in the shot man.",anger
3777,3983,Come on man! You've been here all day!,anger
3793,4000,Without me?!,surprise
3794,4001,"My uncle dragged us there. But, it actually it turned out to be really interesting.",surprise
3796,4003,"They were so ornate and beautiful, I mean look at that!",surprise
3798,4005,I can't believe you'd rather go out with him than me.,surprise
3799,4006,"Would you excuse me, please? I'm trying to have a date here.",anger
3803,4010,"I don't get it. What do you see in this guy, anyway?",surprise
3821,4028,"...DUMB, DRUNKEN, BITCH!!!   Thank you, thanks.",anger
3828,4035,"Oh my God, you guys are selling the entertainment center?",surprise
3832,4039,"Ahh, Gepeto, $5,000 dollars? Are you insane?",surprise
3835,4042,What kind of profit is that?! And you call yourself an accountant.,anger
3837,4044,Oh. What do you do?,surprise
3846,4053,What are you guys doing up?,surprise
3864,4073,"Oh, I'm sorry. I forgot you had that whole Rachel thing.",surprise
3865,4074,"I mean, this is unbelievable.",surprise
3866,4075,"I know. This is really, really huge.",surprise
3871,4081,Really? I’ve been dealing with Dr. Wells.,surprise
3874,4084,Dr. Wells is a woman.,surprise
3880,4090,Can’t you figure that out based on my date of birth?,anger
3885,4095,"Oh really? So, 33 and still single, would you say you have commitment issues?",surprise
3886,4096,Are all the questions this personal?,surprise
3917,4127,Really?,surprise
3924,4135,What do you mean this might be your only chance?,surprise
3925,4136,Would you stop?,anger
3926,4137,"I'm only 26, I'm not even thinking about babies yet.",anger
3931,4142,Oh yeah! With who?,surprise
3942,4154,"On the other hand, if she wasn’t kidding, she’s not fun, she’s stupid, and kind of a racist.",anger
3949,4164,Oh my God!,surprise
3950,4165,What?,surprise
3951,4166,"There was a pregnancy test in the garbage, and it’s positive. Monica’s pregnant.  So I guess she won’t be totally alone.",surprise
3954,4169,"It really wasn’t right, and I, and I want to make it up to you, so umm, I brought you something that I think you’ll really enjoy.",anger
3963,4181,"I-I wanna be with her,  I like her.",anger
3965,4183,"Wait, now, what am I doing again?",surprise
3966,4184,"Come on! Would you please pay attention, I could wake up at any moment!",anger
3968,4186,"No-no-no, that’ not Joshua.",anger
3969,4187,"What do you want from me, I’ve never met the guy.",surprise
3980,4198,Janice?,surprise
3981,4199,Oh.... my.... God.,surprise
3983,4201,"Well, okay so, I don’t have it all worked out quite yet. Just don’t say anything to Rachel, please?",anger
3986,4204,Hey Rach!,anger
3987,4205,What was that?!,surprise
3990,4208,Well then you’d better hurry! The Angelica! Go! Go!,surprise
3991,4209,No,anger
3998,4216,"Ohh, that's so nice! How great! Well, where? Where's the trip?!",anger
4002,4220,That's not a trip!,surprise
4003,4221,I just came from the park!,anger
4004,4222,What are we gonna high five about at the stupid Central Park?,anger
4005,4223,"""Well, it's right by my house, all right!""",anger
4006,4224,"Well, I'm gonna go home and bask in the triumph of my Central Park idea.",anger
4007,4226,"Ho-ho-hold on a sec there, Mr. Kissey!",surprise
4008,4227,"Y'know, I've been meaning to talk to you about this whole, little, new European thing you got going on, and I just need to tell you that it makes me very uncomfortable and I just—y'know—stop it!",anger
4033,4252,Jack?,surprise
4034,4253,Why would you serve food on such a sharp stick?,surprise
4039,4259,Wha—What?,surprise
4042,4262,Get out of the way jackass!,anger
4045,4265,What are they doing out here? The coast’s all the way over there.,surprise
4046,4266,Hey!,anger
4047,4267,Hey! Check it out! This is unbelievable! Joey has been holding his breath for almost four minutes!,surprise
4049,4269,Ow!,anger
4052,4272,Oh my God! Oh my God!,surprise
4068,4290,Hey!,surprise
4080,4302,Hey he's wearing a sweater.,surprise
4100,4323,He knew we were trying to get rid of him. He knew!  You think we could get a bathtub in our kitchen?,surprise
4108,4332,"Um, Rachel I’m really sorry.  That’s okay, do you wanna get back together?  Yeah, okay.  Did anyone else hear that?!",surprise
4109,4333,So how did you know I was even here?,surprise
4117,4341,"I know. I know. I panicked, I panicked. I didn’t want him to start yelling at me like I was some ’74 Latour.",surprise
4121,4345,Yeah?,surprise
4123,4347,Really?!,surprise
4129,4354,Stay calm?!!,anger
4130,4355,How do you expect me to stay calm?!,anger
4131,4356,This is unacceptable Rachel!,anger
4132,4357,And I wanna know why?!!,anger
4133,4358,Is it because that punk Ross won’t marry you?!,anger
4134,4359,That’s it!,anger
4135,4360,Is that it?,anger
4137,4363,"So, you’re like a zillionaire?",surprise
4138,4364,And you’re our age. You’re our age.,surprise
4147,4373,You’re our age!,surprise
4151,4377,"Okay, I’m running out of places I can touch him!",anger
4161,4388,You know what else I’m not gonna miss?,anger
4162,4389,"""I’m Monica.",anger
4163,4390,I wash the toilet 17 times a day.,anger
4164,4391,"Even if people are on it!""",anger
4165,4392,"""Hi I’m Rachel, is my sweater too tight? No? Oh, I’d better wash it and shrink it!""",anger
4166,4393,"""I’m Monica, I don’t get phone messages from interesting people. Ever!""",anger
4168,4395,"""Oh my God, I love Ross! I hate Ross! I love Ross! I hate Ross!""",anger
4169,4396,"""Oh my God, I can’t find a boyfriend!",anger
4170,4397,"So I guess I’ll just stumble across the hall and sleep with the first guy I find in there!""",anger
4178,4405,You do?,surprise
4191,4418,Brides magazines?,surprise
4194,4421,"It is so weird, I know what I said, but uh, this morning, I was lying in bed I was, I was imagining what it would be like to say yes.",surprise
4198,4425,Oh my God.,surprise
4201,4428,You didn’t break up with that fireman?,surprise
4205,4432,Wow!,surprise
4211,4438,"Ok, look! Enough is enough!",anger
4214,4441,I can't just walk away! I've put in four hours!,anger
4217,4446,"Well, this is my sickness!",anger
4221,4450,Really?! How come we didn’t cross paths?,surprise
4223,4452,I can’t believe there is a naked hooker in there!,surprise
4224,4453,Wait! Wait! Maybe she’s a hooker,surprise
4227,4456,Fine! Then you tell Roger because he was really looking forward to this!,anger
4234,4463,Really? Me?,surprise
4235,4465,"Oh my god, are you kidding?",surprise
4236,4466,"Ross is so crazy about you, and I really wanted you to like me, and, it's probably me being totally paranoid, but I kinda got the feeling that maybe you don't.",anger
4248,4478,"Oh my God Chandler, the one you picked is gone. It’s over!",anger
4249,4479,What?,surprise
4251,4481,They put you in jail?,surprise
4252,4482,The little jail between the doors!,anger
4253,4483,"Phoebe, I asked you to guard the ring!",anger
4254,4484,"I know, I’m sorry! But y’know, this ring is better! Monica never even saw the other ring.",anger
4257,4487,It was the ring!,anger
4260,4490,"No. No-no-no-no, no. I mean, don't do that. Not, I mean not for me.",anger
4263,4493,"Oh, Barry..! Come on, this is all way too..",surprise
4270,4500,What?!,surprise
4272,4502,Oh my God! What does,surprise
4274,4504,"All right, I'm outta here!",anger
4276,4507,So were done then!,anger
4283,4515,What?!,surprise
4284,4516,"A small puff of air, now come on!",anger
4293,4526,Hey!,surprise
4294,4527,Hey!,surprise
4297,4532,You’re building a post office?,surprise
4299,4534,Okay.  My word! Those are snug.,surprise
4303,4538,Another cheesecake came! They delivered it to the wrong address again!,anger
4306,4541,"Are you serious?! Chandler, we ate an entire cheesecake two days ago and you want more?",surprise
4307,4542,Well I’ve forgotten what it tastes like okay?!,anger
4310,4545,"It had a buttery, crumbly, graham cracker crust, with a very rich yet light, cream cheese filling…  Wow!",surprise
4312,4547,Y’know what? Forget it!,anger
4317,4552,Ahh!,surprise
4319,4554,A scooter!,surprise
4331,4566,No-no-no-no! That was the joke!,surprise
4336,4571,All you had to do was buy the card!,anger
4342,4577,"Oh! ...Hello, dear.",surprise
4343,4578,Man. Can you believe he's only had sex with one woman?,surprise
4345,4580,Really?,surprise
4352,4588,"The kid...?  Excuse me, uh, that's, that's my puck.",anger
4354,4590,"Oh yeah? Well, I'm rubber, you're glue, whatever——can't do it.  Listen, uh- gimme back my puck.",anger
4355,4591,"Yes', how about. C'mere. Gimme!",anger
4356,4592,Hey! Hey! No rough holding in my ER!,anger
4357,4593,GIVE ME MY PUCK!!,anger
4358,4594,...Now,anger
4363,4599,You ordered a stripper for the shower?! That is totally inappropriate!,anger
4364,4600,What? He’s gonna be dressed as a baby!  Oh hi Mrs. Green!,surprise
4371,4607,"Phoebe, Sandra’s mad at you too. It-it doesn’t bother you?",surprise
4386,4623,"I know, that’s why I said again!",anger
4394,4631,You al-you already had it?,surprise
4402,4640,"What do you, what do you mean?",surprise
4408,4646,"I can't believe it's raining again! Oh, it's so unfair!!!",anger
4414,4652,"Ping pong?  Honey, they have ping pong! Let's play!",surprise
4420,4658,I punched you...?,surprise
4421,4659,And...?,surprise
4422,4660,... Phoebe...?,surprise
4428,4666,Hey!,surprise
4430,4668,What?! Oh my...  Oh my God!! What happened?!,surprise
4434,4672,Ohh. What is this?,surprise
4452,4693,Nine times!,anger
4457,4698,"Yeah! And also, a little like a French guy.  I never noticed that before.",surprise
4466,4708,Why?! To celebrate your relationship! To solidify your commitment! To declare your love for one another to the world!,anger
4474,4716,"Yeah, he-he-he calls me up and asks me if he can edit my new movie.",anger
4475,4717,Can you believe that?!,surprise
4476,4718,Y’know I-I-I haven’t spoken to him in like ten years and he asks me for a favor!,surprise
4486,4729,"Oh, it’s crazy about Rachel huh?",surprise
4487,4730,"Yeah. She—Well, she’s one crazy lady?",surprise
4491,4734,He is so weird.,anger
4492,4735,You wanna fool around with Joey?,surprise
4495,4738,"And what's the big deal, people do it all the time!",surprise
4496,4739,Who? Who do you know that are friends that just fool around?,surprise
4500,4743,Both of them?,surprise
4504,4747,"Rachel, things can get incredibly complicated.",anger
4506,4749,What the hell are you cooking!,surprise
4507,4750,Oh my God! How did you get back here?!,surprise
4508,4751,"Fire alarm?  Oh! Hi, officer—fireman, can-can I help you?",surprise
4509,4752,We found your fire alarm in the trash chute.,anger
4514,4757,"Okay do you—Okay, do you have a search warrant? Because the last time I checked this was still America!",anger
4516,4759,Fine!  But please God.. tell me how to stop them from going off!,anger
4518,4761,There’s a reset button?!,surprise
4519,4765,My God!,surprise
4520,4766,Why didn’t I see that!,surprise
4523,4769,Oh!,surprise
4526,4772,"Ring dammit, ring!",anger
4528,4774,"Hey, you know our phone's not working?",surprise
4529,4775,What?!,surprise
4531,4777,"I turned it off. Mother of God, I turned it off!",anger
4533,4779,"Hey, so listen, I went across the street and talked to the doorman- I got the peeper's name! Can I use the phone?",anger
4534,4780,Nngghhh!!!!!!!,anger
4540,4786,"Yeah, is Sidney there?  Oh, this is?  Sidney's a woman.",surprise
4552,4798,Let me see that!,surprise
4554,4800,"Oh, I can’t believe this!",surprise
4555,4801,This sucks!,anger
4557,4803,And it wouldn’t matter.,anger
4558,4804,Now I gotta be careful?,anger
4563,4810,I can't believe Phoebe's gonna have her babies!,surprise
4584,4832,Still crying?,surprise
4595,4843,No you don’t!,anger
4599,4848,Then why are you answering? Do you at least know what route we’re on?,anger
4607,4857,Who?,anger
4610,4860,"No! No, I am not getting in a car with Ross, we will just have to live here!",anger
4612,4862,"No you guys, I am not getting in a car with him, you’ll have to think of something else.",anger
4616,4866,"Yeah, well, you’re wrong! Okay, you’re wrong.",anger
4621,4871,Chandler!,surprise
4622,4872,What is the matter with your face?!,surprise
4623,4873,"I mean this picture is supposed to say ""Geller and Bing to be married,"" not ""Local woman saves drowning moron!""",anger
4624,4874,Hey!,anger
4625,4875,Don’t laugh at him!,anger
4641,4895,Are you serious?!,surprise
4643,4897,"Wh… So… If neither of you are married by the time you’re 40, you’re gonna marry Joey.",surprise
4645,4899,"Oh, seriously?",surprise
4657,4911,"And I never used to be able to just talk to girls in bars, but I got like 20 phone numbers last night.",surprise
4658,4912,"That’s great! Wow man, so Joey must’ve really taught you some stuff huh?",surprise
4660,4914,Yeah?,surprise
4665,4919,What did you just say?,surprise
4667,4921,Are you serious?!,surprise
4674,4932,Okay! That's a four! And where-where's the other one?,anger
4676,4934,"Nobody move!  Okay, you look that way; I'll look this way!",anger
4687,4946,Whoa—hey—wh-wh-what do you got there? What is that? Pie?,surprise
4692,4951,What?!,surprise
4693,4952,Are you afraid you’re gonna run out?!,anger
4694,4953,Cut me a real piece!,anger
4695,4954,"Phoebe, oh my God! Wh-wh-what are you doing here?",surprise
4697,4956,Oh my God!,surprise
4707,4966,"Phoebe, you said it was urgent!",anger
4709,4968,Do you realize I have a classroom full of students?,anger
4727,4986,Am I out of control?,anger
4730,4989,"I mean, you've been dating this guy since like, what... his midterms?",surprise
4731,4990,"I mean, why all the sudden are you so... Oh.",surprise
4740,5000,Ross!,anger
4751,5012,"Oh, what did I say?",surprise
4753,5014,How's that different?  Oh! Yeah!,surprise
4758,5019,"Hmm, soup.  I mean, noodle soup. I mean soup!",anger
4759,5020,COME ON!!!!,anger
4760,5021,Y'know what? We need to move on.,anger
4761,5022,"No! No! I-I can do it one more time! See? Look!  Hmm, noodle soup. Damnit!",anger
4766,5027,"They’re not!! Ross, they’re just saving them for the important people!! Okay?! What-what if I was the president?!",anger
4772,5034,I’d have to say I really don’t care for your tone.,anger
4773,5035,And this is not the only hospital in this city and we have no problem to—Whoa!,anger
4774,5036,Oh gosh!,surprise
4775,5038,What-what?,surprise
4776,5039,Ow! Ow! Contraction.  Ow-ow! Ow-ow!,surprise
4782,5045,You mean they're lovers.,surprise
4784,5047,"Wow, uh, anything else I should know?",surprise
4788,5051,"Oh, what? What-what?",surprise
4800,5063,And do you remember going into my purse and stealing the phone?!,anger
4802,5065,You stole the phone!,anger
4803,5066,No I didn’t!,anger
4804,5067,"No? So you’re saying that if I called it, it wouldn’t ring?",anger
4806,5069,Phoebe!,anger
4810,5073,I don’t know Tag! How can your genitals make phone calls? Okay? It’s not a perfect world! Just go please.,anger
4811,5074,Fine.,anger
4816,5080,But I'm the host!,surprise
4821,5085,Hey Gunther. Hi.  I mean you’re going out on a date with the noisy guy upstairs?,surprise
4827,5097,"Okay, ten blocks down. Five to go.",anger
4829,5099,Oh I’m sorry! Do you need a break?,surprise
4833,5103,Come on more!,anger
4840,5110,Happy?! Is that what I’m supposed to be Vic? Happy?,anger
4841,5111,"Well, why don’t you tell me what you’re supposed to be!",anger
4843,5113,Because I sure as hell can’t figure it out!,anger
4849,5119,What?! What are you doing?!,surprise
4850,5120,Do you know what just happened?,anger
4856,5126,"Phoebe, why is your bag moving?",surprise
4858,5128,"Seriously, it's moving!",surprise
4859,5129,What the hell is in there?,surprise
4864,5134,"Yeah, we both auditioned for the part, and uh, as it turned out, they ah, they liked the stupid gay thing and cast him.",anger
4868,5138,Rach?,surprise
4875,5145,I can't believe you don't want to know.,surprise
4878,5148,"Wha, heh, how could you know, I don't even know!",surprise
4881,5151,"Wait—oh—hey—huh, oh great now he knows, and I don't know!",anger
4887,5157,Fine!,anger
4890,5160,"Oh, right, that's me!",surprise
4896,5166,"Well, he made a move on me.",anger
4897,5167,"Whoa, store will be open tomorrow!",surprise
4900,5170,"Hey. What, what are you doing here?",surprise
4908,5178,Okay.  Yikes! That one doesn’t look very fulfilled.,surprise
4910,5180,"You keep the old ones in the back, that is so ageist.",anger
4915,5185,Hey! Hey!!,surprise
4920,5190,Shut up!,anger
4923,5193,Yeah?,surprise
4939,5210,I’m not on the list!,surprise
4941,5212,It’s laminated!,anger
4946,5218,Get out of here you lurker!  Go on! Get!,anger
4948,5220,Ohh! You made up!,surprise
4954,5226,"Oh Mon, listen I have to ask!",surprise
4957,5229,"Ohh! And I’m one of them!! Wow! Oh, I just cannot believe this! I mean, Joey Tribbiani!",surprise
4959,5231,Yeah. Oh I just wish we could not be married for a little bit! Y’know I just wish we could be like on a break!,anger
4960,5232,Ross! I think she is trying to make something happen with you to get back at me!,anger
4963,5235,"Ross, I am telling you that she is using you to get back at me!",anger
4966,5239,Whoa!,surprise
4971,5244,What are you doing here?!,surprise
4973,5246,What?!,surprise
4975,5248,I took this picture from your fridge.,anger
4976,5249,"Okay, because I know that this is my Father.",anger
4977,5250,"Yeah, this is Frank Buffay and you are standing right there next to him.",anger
4978,5251,"Now, look I deserve to know where I came from.",anger
4979,5252,All right?,anger
4980,5253,So if you can help me find my Father then you should!,anger
4981,5254,"Otherwise, you’re just mean!",anger
4982,5255,"So, just tell me the truth!",anger
4984,5257,My Father is Chuck Magioni?,surprise
4992,5265,Heh?,surprise
4994,5267,What’s happening to your accent?,surprise
4995,5268,Come again?,surprise
5004,5277,"All right, look I was just trying to make a good first impression.",anger
5008,5281,Ross!! Are you crazy?! I am,anger
5009,5282,"Well, hello Rachel!",surprise
5014,5287,Your thoughts? Plural?,surprise
5017,5290,Now YOU'RE telling me I can't see her??,anger
5023,5296,Huh. Interesting. Now there are obstacles. Hot nanny and me against    the world. This is the kind of stuff great novels are made of.,anger
5024,5297,Great novels?,surprise
5039,5312,What?,surprise
5042,5315,"Let me ask you something, how come when I call your computer support line, I have to wait an hour and a half?",anger
5044,5317,"I mean why, of all people would you want to go out with Chip?!",surprise
5049,5322,They had to have that specially made?!,surprise
5051,5324,"Oh my God, they told us that was for the mascot!",surprise
5052,5325,"Back then, I thought that I would never, ever get the chance to go out with a Chip Matthews, and now he’s-he’s called me up and asked me out.",surprise
5057,5330,"Oh, really?!",surprise
5063,5336,"Oh come on man, you can dance with my partner, she’s real, uh, mellow!",anger
5065,5338,"Ross, get over it! It’s not like she hates you.",anger
5068,5341,Huh. Y’know what’s not one of a kind? A twin!,anger
5077,5353,Am I the only one who doesn't think that she's hot? Ross?,surprise
5078,5354,"Eh, I mean, I mena she's not unattractive but hot? I ....",surprise
5083,5359,What?,surprise
5090,5367,What do you mean?,surprise
5100,5379,Like what?,surprise
5108,5388,"Oh, some idiot customer put a suggestion in the suggestion box.",anger
5109,5389,"Oh my God, they took my idea!",surprise
5110,5390,That was you?!,surprise
5113,5393,"Oh my God, are you guys okay?",surprise
5114,5394,Are you all right?,surprise
5115,5395,Oh my.,surprise
5116,5396,Sit!,anger
5118,5398,"Oh my gosh, Joshua!",surprise
5124,5404,"Oh! Oh, I love that but.",surprise
5128,5413,"What, Phoebe, did you whip the potatoes? Ross needs lumps!",anger
5130,5415,Why would we do that?,surprise
5134,5419,The most unbelievable thing has happened. Underdog has just gotten away.,surprise
5138,5423,Come on. An 80-foot inflatable dog let loose over the city. How often does that happen?,surprise
5139,5424,Almost never.,anger
5150,5435,"Okay, d'y'see anybody you think could be me?",anger
5151,5436,People! Last time there were some empty yoghurt containers lying around after class. Let's not have that happen again!,anger
5154,5439,"Okay, I'm not getting this!",anger
5157,5442,What? You just click when they click.,surprise
5161,5446,"I'm not crazy, right? I mean, it was never like that.",surprise
5169,5454,Hey! Remember when I had corneas?,anger
5172,5459,"Walls are pretty thin, guys!",anger
5179,5466,"But it’s $2,000.",surprise
5208,5496,Hey! You’re a good dancer!,surprise
5209,5497,Really?,surprise
5219,5507,"Really, y’think so? I don’t..",anger
5220,5508,Why aren’t you home yet?!,anger
5221,5509,Is someone there?,anger
5227,5515,Who?  Is that your sister?,surprise
5235,5523,You suck!!,anger
5236,5524,What?!,anger
5237,5525,"Okay, break-up’s still on!",anger
5242,5530,Oh what then? Kick me?,anger
5244,5532,What do I do?,surprise
5252,5540,Horny bitch.  No! You’re a horny bitch! Noooo! You’re the horny bitch! No! You’re a horny bitch!,anger
5256,5544,Really?! I-I thought you weren’t looking for something serious? I thought you were looking for some kind of a fling.,surprise
5259,5547,You told this guy that I was looking for a fling?! You don’t tell the guy that!,anger
5263,5552,"Then I look down, and I realize there's a phone... there.",surprise
5264,5553,Instead of...?,surprise
5280,5571,Oh my god.,surprise
5281,5572,What?,surprise
5282,5573,Hello! Were we at the same table? It's like... cocktails in Appalachia.,anger
5290,5581,Oh!,surprise
5291,5582,Ow!,surprise
5294,5585,Really?,surprise
5312,5603,Really?,surprise
5313,5604,Yes.  You’re not asking are you?,surprise
5318,5609,He asked you out?!,surprise
5327,5618,Wow! If only more people knew.,surprise
5333,5624,Oh man!,surprise
5342,5633,"Actually, I did!",surprise
5344,5635,"Ohhh, oh my God! Oh my God! She knows about us!",surprise
5345,5636,Are you serious?,surprise
5346,5637,Phoebe knows and she's just trying to freak us out! That's the only explanation for it!,anger
5347,5638,Okay but what about y'know my pinchable butt and my bulging biceps—She knows!,anger
5351,5642,Oh my God!,surprise
5352,5643,"You wanna go right now? 'Cause I'll take you right now, buddy! You wanna go?",anger
5358,5649,I’m telling you he’s dead. What we are about to have here is a dead fat guy on a stick.,anger
5369,5660,He does not look happy.,anger
5370,5661,"Hey-hey, now he’s showing us his poking device.",surprise
5371,5662,"Hey, that’s never gonna make it all the way over here, buddy!",anger
5374,5665,Oh God oh!,surprise
5375,5666,Contraction!,surprise
5376,5669,Are you looking at her?!,anger
5377,5670,No!,anger
5378,5671,Don’t you look at her you sick bastard!,anger
5380,5673,She’s in labor! You like that you sick son of a bitch!,anger
5382,5675,See? See? It was because you were looking fat pervert!,anger
5389,5682,Hey! You wanna live to see your baby?!,anger
5390,5683,Don’t you talk to my husband like that you stupid bastard!,anger
5399,5692,It’s not something you are! It’s something you have!,anger
5401,5694,"Y’know what? I can easily get out of this, but there is a chance you can get very, very hurt!",anger
5404,5697,Oh! Ohh! Oh!!,surprise
5406,5699,Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,surprise
5407,5700,oooooooooooooohhhhhhhhhhh,surprise
5409,5702,You?!  And-and you?!,surprise
5411,5704,How?! When?!,surprise
5413,5706,IN LONDON!!!,surprise
5415,5708,But it is a big deal!! I have to tell someone!,surprise
5418,5711,"All right! Man, this is unbelievable! I mean, it's",surprise
5428,5722,"Oh, we're gonna flip for the baby?",surprise
5436,5730,What kind of scary-ass clowns came to your birthday?,anger
5446,5740,Who are you?,surprise
5448,5742,I’m Chandler’s new roommate.,surprise
5449,5743,I-I-I don’t think so.,surprise
5450,5744,I could be Chandler’s new roommate.,surprise
5451,5745,"But, he told me over the phone.",surprise
5453,5747,That’s weird.,surprise
5455,5749,Hey! Look who I found!,surprise
5462,5757,"Oh, the duck seems to think that Monica got me garbage! Hmm, I wonder what I could get Monica that’s as good as garbage?",anger
5465,5760,What?,surprise
5466,5761,"This bench, it’s hollow! I can’t believe I never knew that!  Oh, the presents!!!",surprise
5468,5763,What?,surprise
5477,5772,"Ma, you’re asking me to marry you?",surprise
5479,5774,"Mom no, come on! Thank you.",surprise
5488,5783,"Wait, wait, wait, wait, wait.",surprise
5492,5790,What?,surprise
5495,5793,Yeah.  Hi Mark!,surprise
5497,5795,"Oh, I did!",surprise
5499,5797,Oh my God!!,surprise
5501,5799,I can’t believe I did this! What an idiot!,anger
5506,5804,Apparently you’re not very good at it!,anger
5509,5807,"Oh my God! So was she! Oh, I’ve got-I’ve got goose bumps.",surprise
5510,5808,Really?,surprise
5515,5813,I don’t need you guys to care about me!,anger
5521,5825,Oh my God! Those are my bedroom eyes?! Why did you ever sleep with me?,surprise
5522,5826,Do you really want to pull at that thread?,surprise
5528,5832,"I know it’s really lame, but I got these tickets from my boss and—Oh no! No! No! My God!",surprise
5530,5834,"No it’s… Uh, my ex-wife Whitney is out there. I cannot deal with her right now. That woman is crazy!",anger
5534,5838,What?! No!,surprise
5543,5847,"Okay, I didn't know you would say that.",surprise
5544,5848,Ross! Janice?!,anger
5550,5854,He obviously went crazy.,anger
5551,5855,He obviously lost his mind.,anger
5553,5858,Phoebe! Don't put ideas in his head!,anger
5554,5860,Damnit Phoebe!!,anger
5560,5866,Why does this keep happening to me?,anger
5564,5870,"I-I-I-I-I don’t know, I don’t know what to say.",surprise
5577,5883,That kid really kicked me hard on the plane.,anger
5579,5885,He took my snack!,anger
5580,5886,I’m not getting into this again!,anger
5582,5888,"Well, I told you not to walk. Here.  There. Okay.",anger
5584,5890,Of course! Only an idiot would wear this stuff if you didn’t have the car! Right?,anger
5590,5896,"Ahh, I think it just moved. It’s really poking me.",anger
5592,5898,"What?! No, you can’t, you can’t leave me here with them! We’re baby-sitting!",anger
5594,5900,But you-you can’t leave me with them! We-we’re a team! We’re playing a zone! They’re gonna triple team me!,anger
5599,5905,"Okay, listen this really hurts. Let’s go.",anger
5600,5906,"A real man wouldn’t just run to the hospital!  No! What would, what would Krog do?",anger
5603,5909,Don’t call us that!,anger
5604,5910,The judge wouldn’t let us get an annulment! Now we gotta get a divorce!! Did a Porsch throw up on you?,anger
5605,5911,Hey! It’s Porsche!!,anger
5608,5914,There’s no back to this couch!,surprise
5609,5915,Why are you reading this? You hate this kind of stuff.,surprise
5620,5926,What kind of father do you think I am?,anger
5623,5929,"The basket is totally empty! My God, the neighbors ate all the candy!",surprise
5625,5931,Joey!!,anger
5627,5933,Did you eat all the neighbor candy?!,anger
5628,5934,"Uh well yeah, that was the plan, but by the time I got to it there was only a couple of pieces left!",anger
5633,5939,Mine stole my newspaper! It’s like a,anger
5637,5943,Oh my God Ross!!,surprise
5643,5949,There he is! There he is!,surprise
5653,5959,Wow. My brother never even told me when he lost his virginity.,surprise
5659,5965,Yeah?,surprise
5664,5970,Wow! It looks like the Easter Bunny’s funeral in here.,surprise
5671,5978,"Wow! That’s exciting, you went to Japan, made up a woman.",surprise
5673,5980,"I’m just saying, this woman, I mean she’s fictitious. No?",surprise
5684,5991,"For God's sake, will you let it go? There's no Rachel!",anger
5688,5995,Really?,surprise
5692,6000,Do I know you?,surprise
5693,6001,"Oh my god, little Stevie Fisher? How've you been?",surprise
5695,6003,You can't be a lawyer. You're eight.,surprise
5697,6005,"Uh, wait, backstage?",surprise
5703,6012,"So, are you one of the ones who fooled around with my dad?",surprise
5706,6015,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease.",anger
5709,6018,Really?,surprise
5710,6019,He does?,surprise
5712,6021,"Oh, she told you about that, huh.",surprise
5720,6050,"Oh, look look look.",surprise
5734,6064,I was,surprise
5736,6066,Oh my God!  I'm your,surprise
